family,dataset,outcome,condition.name,estimate,std.error,pred_gpt,pred_expert,cell,z_raw_gpt,z_raw_expert,recal_gpt,recal_expert,z_recal_gpt,z_recal_expert
SDC,SDC,PA,Befriending Meditation,0.05638849097395316,0.007258545030780693,0.08023333333333332,0.034378707303726205,SDC PA,3.2850719060449958,-3.0322583350922176,0.02929541889157582,0.01924792615532709,-3.732576152312352,-5.1168057318825255
SDC,SDC,PA,Correcting Policy Misperceptions Chatbot,0.031085647701032455,0.006785968330735029,0.03223333333333333,0.04752281681115617,SDC PA,0.16912628771088903,2.42222897440833,0.016546098678288528,0.039744665287607374,-2.1425901675507912,1.2760179777669267
SDC,SDC,PA,Sympathetic Personal Narratives,0.08960990530701357,0.006980958526982528,0.06813333333333332,0.04061681631612861,SDC PA,-3.076450302729896,-7.018103431143272,0.025363041771669117,0.027762233552027466,-9.20315788827852,-8.859481332819112
SDC,SDC,PA,Common National Identity,0.09046864237163595,0.006666678188799589,0.0766,0.04830019486456397,SDC PA,-2.0802927603339363,-6.325256193994401,0.027421028086777228,0.03780344142453037,-9.457125797789733,-7.899766488741905
SDC,SDC,PA,Positive Contact Video,0.10820395113921412,0.007208871870435401,0.0527,0.04498203214216466,SDC PA,-7.699394875756308,-8.770015632588985,0.02079780899323453,0.0329374525526619,-12.124801732771044,-10.440815142689763
SDC,SDC,PA,Counterfactual Partisan Selves,0.01722376391185583,0.006625212117322634,0.07713333333333335,0.041743822087083514,SDC PA,9.042664349543578,3.701022358380983,0.029572642146336765,0.03121488702558594,1.8639219417885349,2.1118000248094955
SDC,SDC,PA,Democratic Collapse Threat,0.04651401193414385,0.006797215589179988,0.052500000000000005,0.014452377225534692,SDC PA,0.880652965515002,-4.716877710874115,0.022019958367105,-0.018212944967385875,-3.603542251334387,-9.522569359807276
SDC,SDC,PA,Common Economic Interests,0.011644762153389556,0.006848705030892918,0.05516666666666666,0.041966504759062946,SDC PA,6.354764049110001,4.427368746193485,0.023483161764440742,0.03170757911901268,1.7285602982828017,2.9294321882931764
SDC,SDC,PA,Utility of Outparty Empathy,0.07292179676375635,0.007191428838464841,0.03629999999999999,0.03443387277926693,SDC PA,-5.092422880954772,-5.3519161280758025,0.016562865093590368,0.018971112871810636,-7.836958820856101,-7.502081311488386
SDC,SDC,PA,Bipartisan Joint Trivia Quiz,0.04103053230488003,0.006886810817787304,0.098,0.03203123543000425,SDC PA,8.272256811233847,-1.3067437327641311,0.03462359952764306,0.01595891088708683,-0.9303192648604637,-3.6405271004451056
SDC,SDC,PA,Outpartisans Experiences of Harm,0.018973620478505916,0.0066562196999291265,0.0523,0.04129149067899934,SDC PA,5.006802813592366,3.3529347297131826,0.022536010330146575,0.030475862425474006,0.535197155778766,1.7280442151106525
SDC,SDC,PA,Pro-Democracy Inparty Elite Cues,0.02435947969845527,0.006677198968431838,0.028,0.022170229840888105,SDC PA,0.5452166872301125,-0.32786949556504175,0.01553015349764304,4.1907404987269307e-4,-1.3223098851112753,-3.585396475642998
SDC,SDC,PA,Outpartisans Willingness to Learn,0.05407369340482587,0.007294798404724492,0.06466666666666666,0.044114357031797696,SDC PA,1.4521269367745966,-1.3652654700612414,0.025232285429514344,0.03367644050074944,-3.953694999526283,-2.7961366130236187
